,collision_date,accidents,is_12AM_3AM,is_3AM_6AM,is_6AM_9AM,is_9AM_12PM,is_12PM_3PM,is_3PM_6PM,is_6PM_9PM,is_9PM_12AM,is_monday,is_tuesday,is_wednesday,is_thursday,is_friday,is_saturday,is_sunday,avg_density_per_collision,avg_wealth_per_collision,avg_intersections_per_collision,avg_watts_per_collision,avg_lightbulbs_per_collision,avg_one_way_signs_per_collision,avg_speed_limit_signs_per_collision,avg_no_u_turn_signs_per_collision,avg_stop_sign_per_collision,avg_yield_sign_per_collision,high_severity,low_severity,number_killed,number_injured,pedestrian_accident,bicycle_accident,motorcycle_accident,truck_accident,alcohol_involved,count_ped_killed,count_ped_injured,count_bicyclist_killed,count_bicyclist_injured,intersection_N,intersection_Unknown,intersection_Y,weather_1_A,weather_1_B,weather_1_C,weather_1_D,weather_1_E,weather_1_F,weather_1_G,weather_1_Unknown,location_type_H,location_type_I,location_type_N,location_type_R,primary_coll_factor_A,primary_coll_factor_B,primary_coll_factor_C,primary_coll_factor_D,primary_coll_factor_E,primary_coll_factor_Unknown,pcf_viol_category_00,pcf_viol_category_01,pcf_viol_category_02,pcf_viol_category_03,pcf_viol_category_04,pcf_viol_category_05,pcf_viol_category_06,pcf_viol_category_07,pcf_viol_category_08,pcf_viol_category_09,pcf_viol_category_10,pcf_viol_category_11,pcf_viol_category_12,pcf_viol_category_13,pcf_viol_category_14,pcf_viol_category_15,pcf_viol_category_16,pcf_viol_category_17,pcf_viol_category_18,pcf_viol_category_21,pcf_viol_category_22,pcf_viol_category_24,pcf_viol_category_Unknown,hit_and_run_F,hit_and_run_M,hit_and_run_N,type_of_collision_A,type_of_collision_B,type_of_collision_C,type_of_collision_D,type_of_collision_E,type_of_collision_F,type_of_collision_G,type_of_collision_H,type_of_collision_Unknown,road_surface_A,road_surface_B,road_surface_C,road_surface_D,road_surface_Unknown,road_cond_1_A,road_cond_1_B,road_cond_1_C,road_cond_1_D,road_cond_1_E,road_cond_1_F,road_cond_1_G,road_cond_1_H,road_cond_1_Unknown,lighting_A,lighting_B,lighting_C,lighting_D,lighting_E,lighting_Unknown,control_device_A,control_device_B,control_device_C,control_device_D,control_device_Unknown
10,2012-01-11T00:00:00.000Z,91,8,1,14,12,19,20,9,7,0,0,1,0,0,0,0,13443.145446827322,25980.784911804305,127.67032967032966,62041.56043956044,611.065934065934,22.0989010989011,21.923076923076923,2.120879120879121,125.16483516483517,0.4945054945054945,3,88,1,89,0.0,0.0,0.0,0.0,0.0,0,7,0,5,43,0,48,85,6,0,0,0,0,0,0,0,0,91,0,86,2,1,2,0,0,3,3,0,15,8,3,1,8,3,19,3,5,9,0,0,0,0,1,1,3,5,0,1,8,19,64,4,18,18,30,12,1,8,0,0,88,3,0,0,0,0,0,0,2,0,0,1,88,0,57,2,31,1,0,0,44,1,0,46,0
11,2012-01-12T00:00:00.000Z,92,5,1,11,15,14,21,17,8,0,0,0,1,0,0,0,10997.677964069473,35751.21981062957,133.0108695652174,64152.717391304344,625.4565217391304,27.52747252747253,21.98901098901099,3.5714285714285716,128.57142857142858,0.45054945054945056,1,91,0,75,0.0,0.0,0.0,0.0,0.0,0,12,0,6,38,0,54,91,1,0,0,0,0,0,0,2,0,90,0,89,1,1,1,0,0,2,7,0,19,1,4,0,1,6,25,5,3,9,0,0,0,0,0,1,7,1,0,1,10,22,60,13,22,16,25,4,0,12,0,0,92,0,0,0,0,0,0,0,0,0,0,0,92,0,53,4,33,2,0,0,40,0,0,52,0
12,2012-01-13T00:00:00.000Z,122,5,3,14,20,18,30,19,12,0,0,0,0,1,0,0,11898.026043998017,26975.336679710897,145.52459016393442,76175.46721311475,730.0819672131148,40.18032786885246,22.80327868852459,2.3360655737704916,135.5,0.5245901639344263,3,119,0,118,0.0,0.0,0.0,0.0,0.0,0,12,0,14,54,0,68,120,2,0,0,0,0,0,0,1,1,120,0,119,1,0,2,0,0,7,5,0,24,11,4,2,6,9,26,4,6,8,0,0,0,0,0,1,8,1,0,0,12,24,86,10,26,34,35,5,0,12,0,0,121,0,0,1,0,0,0,0,0,0,0,0,122,0,67,6,47,2,0,0,54,0,0,68,0
13,2012-01-14T00:00:00.000Z,75,7,5,1,9,13,12,15,11,0,0,0,0,0,1,0,11847.065303377627,25507.79287606542,129.69333333333333,59289.26666666667,601.92,26.053333333333335,19.946666666666665,2.7733333333333334,123.17333333333333,0.5733333333333334,3,72,0,67,0.0,0.0,0.0,0.0,0.0,0,6,0,2,36,0,39,66,8,0,0,0,0,0,1,0,0,75,0,74,0,0,1,0,0,2,13,0,18,6,4,0,3,4,6,3,2,8,0,0,0,0,0,0,4,0,0,2,11,24,40,4,19,24,17,4,0,7,0,0,75,0,0,0,0,0,0,0,0,0,0,0,74,1,34,0,39,2,0,0,34,1,0,40,0
14,2012-01-15T00:00:00.000Z,82,10,5,3,7,10,18,13,13,0,0,0,0,0,0,1,10637.126311851685,29357.307793606662,136.53658536585365,68639.12195121951,679.2560975609756,25.548780487804876,22.426829268292682,3.2560975609756095,138.7439024390244,0.5,3,79,0,74,0.0,0.0,0.0,0.0,0.0,0,5,0,2,45,0,37,53,25,4,0,0,0,0,0,0,0,82,0,81,1,0,0,0,0,2,11,0,18,1,3,0,7,4,14,2,0,11,0,0,0,0,0,0,4,3,0,2,10,33,39,8,18,24,22,5,0,5,0,0,73,8,0,1,0,0,1,0,1,0,0,1,78,1,33,3,44,1,1,0,41,0,0,41,0
15,2012-01-16T00:00:00.000Z,65,4,4,4,9,12,19,7,5,1,0,0,0,0,0,0,13948.41874539906,25281.777296139866,128.07692307692307,66582.33846153846,639.4615384615385,26.4,21.03076923076923,2.3692307692307693,121.92307692307692,0.4153846153846154,1,64,0,60,0.0,0.0,0.0,0.0,0.0,0,6,0,6,36,0,29,47,18,0,0,0,0,0,0,0,0,65,0,63,0,1,1,0,0,1,2,0,13,3,4,1,5,4,10,6,0,8,0,0,0,0,0,2,4,2,0,0,10,13,42,3,14,15,24,3,0,6,0,0,63,2,0,0,0,1,0,0,0,0,0,1,63,0,37,4,22,2,0,0,33,1,0,31,0
16,2012-01-17T00:00:00.000Z,80,3,4,8,17,13,15,12,8,0,1,0,0,0,0,0,11333.960196631917,27438.701561176564,127.15,55469.443037974685,571.7341772151899,14.468354430379748,20.72151898734177,1.9620253164556962,127.83544303797468,0.3291139240506329,3,77,0,90,0.0,0.0,0.0,0.0,0.0,0,11,0,3,36,0,44,80,0,0,0,0,0,0,0,1,0,78,1,78,0,1,1,0,0,2,1,0,18,6,2,1,4,5,22,5,3,4,0,0,0,0,0,1,5,1,0,0,11,14,55,11,12,20,21,5,0,11,0,0,80,0,0,0,0,0,0,0,1,0,0,0,78,1,47,4,28,1,0,0,32,0,0,48,0
17,2012-01-18T00:00:00.000Z,89,4,2,17,11,10,23,14,7,0,0,1,0,0,0,0,13602.09612222147,22292.663227465033,124.9438202247191,84788.24719101124,757.5842696629213,48.40449438202247,21.04494382022472,3.5842696629213484,113.85393258426966,0.6966292134831461,4,85,2,73,0.0,0.0,0.0,0.0,0.0,1,8,0,8,43,0,46,89,0,0,0,0,0,0,0,0,0,89,0,88,0,0,1,0,0,3,0,0,17,8,5,1,6,7,20,6,3,6,0,0,0,0,0,0,6,1,0,0,3,25,61,6,17,20,28,8,1,9,0,0,88,1,0,0,0,0,0,1,0,0,0,0,88,0,56,2,30,1,0,0,40,0,0,49,0
18,2012-01-19T00:00:00.000Z,105,4,5,16,15,23,15,17,9,0,0,0,1,0,0,0,12617.826538379144,28283.213180077488,140.52380952380952,70742.9619047619,658.2857142857143,23.571428571428573,21.476190476190474,2.038095238095238,136.4,0.42857142857142855,5,100,1,90,0.0,0.0,0.0,0.0,0.0,0,13,0,8,46,0,59,102,3,0,0,0,0,0,0,1,0,104,0,105,0,0,0,0,0,1,6,0,15,7,6,0,6,6,30,7,2,8,0,0,0,0,3,0,4,2,0,2,10,25,70,9,24,19,38,3,0,11,1,0,105,0,0,0,0,0,0,0,0,0,0,0,104,1,65,3,34,3,0,0,56,1,0,48,0
19,2012-01-20T00:00:00.000Z,98,3,3,11,15,14,24,20,8,0,0,0,0,1,0,0,13261.74188890524,22251.0333539442,127.93877551020408,62499.42857142857,642.765306122449,27.88659793814433,20.567010309278352,1.824742268041237,123.8659793814433,0.4845360824742268,0,98,0,69,0.0,0.0,0.0,0.0,0.0,0,7,0,7,51,0,47,87,10,1,0,0,0,0,0,0,0,98,0,96,0,0,2,0,0,5,5,0,22,3,8,2,2,8,20,4,2,8,0,0,0,0,1,1,4,2,0,1,8,36,54,6,22,31,27,5,0,7,0,0,97,1,0,0,0,0,0,0,0,3,0,0,95,0,56,5,37,0,0,0,37,0,0,59,2
