,Population,Density,Wealthy,median_age,intersections,total_watts,total_lightbulbs,one_way_signs,speed_limit_signs,no_u_turn_signs,stop_sign,yield_sign,accidents
225,28514,7563.395225464191,22654.141369152003,12127,48.0,5264.0,116.0,0.0,4.0,0.0,37.0,0.0,25
226,11772,17570.149253731342,9810.939347604486,7516,121.0,246768.0,1556.0,180.0,13.0,28.0,41.0,3.0,1368
227,31103,9629.411764705883,9287.182972703597,11370,155.0,120997.0,1058.0,13.0,23.0,2.0,123.0,0.0,809
228,31103,9629.411764705883,9287.182972703597,11370,68.0,30216.0,284.0,0.0,14.0,0.0,52.0,0.0,134
229,31103,9629.411764705883,9287.182972703597,11370,40.0,20122.0,158.0,0.0,7.0,3.0,27.0,1.0,89
230,67869,16044.680851063828,14066.11785940562,26686,118.0,28786.0,289.0,4.0,6.0,0.0,106.0,0.0,124
231,45527,8622.537878787878,16473.61767742219,15288,128.0,43360.0,350.0,2.0,9.0,4.0,91.0,0.0,208
232,45527,8622.537878787878,16473.61767742219,15288,114.0,26206.0,267.0,15.0,9.0,0.0,107.0,0.0,236
233,45527,8622.537878787878,16473.61767742219,15288,128.0,19990.0,238.0,17.0,6.0,7.0,92.0,0.0,274
234,45527,8622.537878787878,16473.61767742219,15288,80.0,7207.0,54.0,0.0,12.0,0.0,61.0,0.0,71
235,27425,7596.952908587258,19733.739507748403,9998,69.0,3220.0,22.0,0.0,1.0,0.0,22.0,0.0,16
236,48852,14939.449541284404,7311.482088757881,13690,122.0,52524.0,537.0,15.0,6.0,0.0,96.0,0.0,360
237,48852,14939.449541284404,7311.482088757881,13690,101.0,74369.0,468.0,18.0,15.0,0.0,72.0,0.0,403
238,39316,11395.942028985506,10087.446968155458,11903,118.0,84070.0,782.0,25.0,22.0,0.0,125.0,0.0,617
239,39316,11395.942028985506,10087.446968155458,11903,137.0,61480.0,547.0,19.0,11.0,4.0,80.0,0.0,434
240,39316,11395.942028985506,10087.446968155458,11903,154.0,43884.0,453.0,22.0,16.0,0.0,142.0,0.0,288
241,45527,8622.537878787878,16473.61767742219,15288,128.0,8473.0,80.0,9.0,7.0,0.0,89.0,0.0,65
